Node_type,ID,Description,Label,Reference_Count,First_Apperance,Last_Apperance,Confidence,_context
PERSON,PER_SAURON_THE_BASE_MASTER_OF_TREACHERY,[N/A],Sauron The Base Master Of Treachery,112196,"Book 1, Chapter 1","Book 6, Chapter 9",0.96,"hope in war, so that he falls to haggling? And if indeed we rated this prisoner so high, what surety have we that Sauron the Base Master of Treachery, will keep his part? Where is this prisoner? Let him be brought forth and yielded to us, and then we will"
LOCATION,LOC_THE_BUTT-END_OF_THE_MISTY_MOUNTAINS,[N/A],The Butt-End Of The Misty Mountains,22444,"Book 1, Chapter 1","Book 6, Chapter 9",0.96,"The butt-end of the Misty Mountains is in front, and Fangorn Forest.' Even as he spoke the dark edge of the forest loomed up straight before them. Night seemed to have taken refuge under its great trees, creeping away from the coming Dawn. 'Lead on, Master Brandybuck!' said Pippin. 'Or"
LOCATION,LOC_HEART_OF_THE_SHIRE,[N/A],Heart Of The Shire,1818,"Book 1, Chapter 1","Book 6, Chapter 9",0.64,"heart of the Shire rumours had been heard, though most hobbits still laughed at them. Sam Gamgee was sitting in one corner near the fire, and opposite him was Ted Sandyman, the miller's son; and there were various other rustic hobbits listening to their talk. 'Queer things you do hear"
ORGANIZATION,ORG_LORDS_OF_THE_HOUSE_OF_EORL_THE_YOUNG,[N/A],Lords Of The House Of Eorl The Young,11689,"Book 1, Chapter 1","Book 6, Chapter 9",0.91,"to war. Helm for Th̩oden King!' And with that shout the king came. His horse was white as snow, golden was his shield, and his spear was long. At his right hand was Aragorn, Elendil's heir, behind him rode the lords of the House of Eorl the Young. Light sprang"
ORGANIZATION,ORG_THE_SACKVILLE-BAGGINSES,[N/A],The Sackville-Bagginses,208,"Book 1, Chapter 1","Book 4, Chapter 2",0.63,"he comes back and orders them off; and he goes on living and living, and never looking a day older, bless him! And suddenly he produces an heir, and has all the papers made out proper. The Sackville-Bagginses won't never see the inside of Bag End now, or it is"
PERSON,PER_OLD_TOOK,[N/A],Old Took,138,"Book 1, Chapter 1","Book 6, Chapter 9",0.52,"the Bagginses had given very lively combined birthday-parties at Bag End; but now it was understood that something quite exceptional was being planned for that autumn. Bilbo was going to be _eleventy-one,_ 111, a rather curious number and a very respectable age for a hobbit (the Old Took himself had"
PERSON,PER_OLD_HOLMAN,[N/A],Old Holman,19,"Book 1, Chapter 1","Book 1, Chapter 1",0.61,"a more attentive audience than old Ham Gamgee, commonly known as the Gaffer. He held forth at _The Ivy Bush_, a small inn on the Bywater road; and he spoke with some authority, for he had tended the garden at Bag End for forty years, and had helped old Holman"
LOCATION,LOC_NUMBER_3_BAGSHOT_ROW,[N/A],Number 3 Bagshot Row,94,"Book 1, Chapter 1","Book 6, Chapter 9",0.75,"that. Now that he was himself growing old and stiff in the joints, the job was mainly carried on by his youngest son, Sam Gamgee. Both father and son were on very friendly terms with Bilbo and Frodo. They lived on the Hill itself, in Number 3 Bagshot Row just"
PERSON,PER_DADDY_TWOFOOT,[N/A],Daddy Twofoot,10,"Book 1, Chapter 1","Book 1, Chapter 1",0.55,"Noakes of Bywater. 'Baggins is his name, but he's more than half a Brandybuck, they say. It beats me why any Baggins of Hobbiton should go looking for a wife away there in Buckland, where folks are so queer.' 'And no wonder they're queer,' put in Daddy Twofoot (the Gaffer's"
ORGANIZATION,ORG_BRANDYBUCKS_OF_BUCK-LAND,[N/A],Brandybucks Of Buck-Land,69,"Book 1, Chapter 1","Book 5, Chapter 8",0.56,"in Daddy Twofoot (the Gaffer's next-door neighbour), 'if they live on the wrong side of the Brandywine River, and right agin the Old Forest. That's a dark bad place, if half the tales be true.' 'You're right, Dad!' said the Gaffer. 'Not that the Brandybucks of Buck-land live _in_ the"
PERSON,PER_MISS_PRIMULA_BRANDYBUCK,[N/A],Miss Primula Brandybuck,10,"Book 1, Chapter 1","Book 1, Chapter 1",0.69,"he was drownded.' 'Drownded?' said several voices. They had heard this and other darker rumours before, of course; but hobbits have a passion for family history, and they were ready to hear it again. 'Well, so they say,' said the Gaffer. 'You see: Mr. Drogo, he married poor Miss Primula"
LOCATION,LOC_BRANDYBUCK,[N/A],Brandybuck,43,"Book 1, Chapter 1","Book 6, Chapter 8",0.81,"Brandybuck. She was our Mr. Bilbo's first cousin on the mother's side (her mother being the youngest of the Old Took's daughters); and Mr. Drogo was his second cousin. So Mr. Frodo is his first _and_ second cousin, once removed either way, as the saying is, if you follow me."
PERSON,PER_OLD_MASTER_GORBADOC,[N/A],Old Master Gorbadoc,20,"Book 1, Chapter 1","Book 1, Chapter 1",0.72,"the youngest of the Old Took's daughters); and Mr. Drogo was his second cousin. So Mr. Frodo is his first _and_ second cousin, once removed either way, as the saying is, if you follow me. And Mr. Drogo was staying at Brandy Hall with his father-in-law, old Master Gorbadoc, as"
PERSON,PER_OLD_GORBADOC,[N/A],Old Gorbadoc,3,"Book 1, Chapter 1","Book 1, Chapter 1",0.53,"he often did after his marriage (him being partial to his vittles, and old Gorbadoc keeping a mighty generous table); and he went out _boating_on the Brandywine River; and he and his wife were drownded, and poor Mr. Frodo only a child and all. ' 'I've heard they went on"
PERSON,PER_OLD_NOAKES,[N/A],Old Noakes,10,"Book 1, Chapter 1","Book 1, Chapter 1",0.82,"his vittles, and old Gorbadoc keeping a mighty generous table); and he went out _boating_on the Brandywine River; and he and his wife were drownded, and poor Mr. Frodo only a child and all. ' 'I've heard they went on the water after dinner in the moonlight,' said Old Noakes;"
