Node_type,ID,Description,Label,Reference_Count,First_Apperance,Last_Apperance,Confidence
PERSON,PER_BILBO_BAGGINS,[N/A],Bilbo Baggins,42,31,13,0.86
LOCATION,LOC_BAG_END,[N/A],Bag End,201,48,122,0.93
EVENT,EVE_PARTY_OF_SPECIAL_MAGNIFICENCE,[N/A],party of special magnificence,3,138,111,0.57
LOCATION,LOC_HOBBITON,[N/A],Hobbiton,108,207,22,0.92
PERSON,PER_BILBO,[N/A],Bilbo,763,161,17,0.98
LOCATION,LOC_SHIRE,[N/A],Shire,107,231,14,0.7
LOCATION,LOC_HILL,[N/A],Hill,35,279,66,0.51
LOCATION,LOC_HILL_AT_BAG_END,[N/A],Hill at Bag End,9,252,29,0.86
EVENT,EVE_REMARKABLE_DISAPPEARANCE,[N/A],remarkable disappearance,1,0,24,0.5
EVENT,EVE_THE_RICHES_HE_HAD_BROUGHT_BACK_FROM_HIS_TRAVELS,[N/A],The riches he had brought back from his travels,1,0,47,0.51
PERSON,PER_LOCAL_LEGEND,[N/A],local legend,2,39,25,0.73
PERSON,PER_MR._BAGGINS,[N/A],Mr. Baggins,20,241,11,0.96
LOCATION,LOC_TUNNELS,[N/A],tunnels,3,0,23,0.86
EVENT,EVE_TROUBLE,[N/A],trouble,17,242,143,0.63
ORGANIZATION,ORG_SACKVILLE-BAGGINSES,[N/A],Sackville-Bagginses,104,259,52,0.69
ORGANIZATION,ORG_HOBBITS,[N/A],hobbits,74,254,7,0.54
PERSON,PER_THE_ELDEST,[N/A],The eldest,1,292,302,0.54
PERSON,PER_FRODO_BAGGINS,[N/A],Frodo Baggins,10,285,23,0.95
PERSON,PER_FRODO,[N/A],Frodo,509,191,243,0.54
EVENT,EVE_HOPES,[N/A],hopes,1,97,102,0.53
EVENT,EVE_SEPTEMBER_22ND,[N/A],September 22nd,1,169,183,0.57
EVENT,EVE_BIRTHDAY-PARTIES,[N/A],birthday-parties,3,118,299,0.51
ORGANIZATION,ORG_BAGGINSES,[N/A],Bagginses,21,288,39,0.66
LOCATION,LOC_BAG,[N/A],Bag,7,325,321,0.9
EVENT,EVE_COMING_OF_AGE_AT_THIRTY-THREE,[N/A],coming of age at thirty-three,2,117,123,0.59
ORGANIZATION,ORG_THE_HOBBITS,[N/A],the hobbits,8,0,21,0.88
EVENT,EVE_COMING_OF_AGE,[N/A],coming of age,4,68,116,0.55
ORGANIZATION,ORG_THE_BAGGINSES,[N/A],the Bagginses,1,135,148,0.79
PERSON,PER_OLD_TOOK,[N/A],Old Took,28,280,29,0.73
EVENT,EVE_AUTUMN,[N/A],autumn,1,71,77,0.52
LOCATION,LOC_BYWATER,[N/A],Bywater,69,270,7,0.94
PERSON,PER_MR._BILBO_BAGGINS,[N/A],Mr. Bilbo Baggins,18,255,45,0.77
ORGANIZATION,ORG_OLDER_FOLK,[N/A],older folk,9,271,32,0.63
EVENT,EVE_RUMOUR_OF_THE_COMING_EVENT,[N/A],rumour of the coming event,2,56,26,0.65
PERSON,PER_OLD_HAM_GAMGEE,[N/A],old Ham Gamgee,10,270,14,0.73
LOCATION,LOC__THE_IVY_BUSH_,[N/A],_The Ivy Bush_,2,276,261,0.8
LOCATION,LOC_BYWATER_ROAD,[N/A],Bywater road,10,252,12,0.93
PERSON,PER_OLD_HOLMAN,[N/A],old Holman,19,249,10,0.66
PERSON,PER_GAFFER,[N/A],Gaffer,81,38,10,0.58
PERSON,PER_SAM_GAMGEE,[N/A],Sam Gamgee,10,245,28,0.95
PERSON,PER_HOLMAN,[N/A],Holman,1,19,25,0.71
LOCATION,LOC_HILL_ITSELF,[N/A],Hill itself,1,241,252,0.58
LOCATION,LOC_NUMBER_3_BAGSHOT_ROW,[N/A],Number 3 Bagshot Row,10,234,20,0.95
PERSON,PER_MASTER_HAMFAST,[N/A],Master Hamfast,10,254,15,0.57
PERSON,PER_THE_GAFFER,[N/A],the Gaffer,11,66,26,0.76
LOCATION,LOC_NEIGHBOURHOOD,[N/A],neighbourhood,4,282,17,0.83
PERSON,PER_OLD,[N/A],Old,3,312,257,0.76
PERSON,PER_OLD_NOAKES,[N/A],Old Noakes,17,285,31,0.61
PERSON,PER_BAGGINS,[N/A],Baggins,47,309,30,0.84
LOCATION,LOC_BUCKLAND,[N/A],Buckland,10,270,22,0.94
PERSON,PER_NOAKES_OF_BYWATER,[N/A],Noakes of Bywater,1,0,17,0.54
PERSON,PER_DADDY_TWOFOOT,[N/A],Daddy Twofoot,10,247,16,0.67
LOCATION,LOC_BRANDYWINE_RIVER,[N/A],Brandywine River,20,252,20,0.81
LOCATION,LOC_OLD_FOREST,[N/A],Old Forest,20,268,10,0.87
PERSON,PER_DAD,[N/A],Dad,10,265,18,0.51
ORGANIZATION,ORG_BRANDYBUCKS,[N/A],Brandybucks,22,276,110,0.7
LOCATION,LOC_BUCK-LAND,[N/A],Buck-land,7,194,12,0.55
EVENT,EVE_TROUBLE_CAME_OF_IT,[N/A],trouble came of it,1,257,275,0.55
PERSON,PER_MR._FRODO,[N/A],Mr. Frodo,38,252,32,0.95
LOCATION,LOC_BIG_RIVER,[N/A],big river,2,59,34,0.6
PERSON,PER_MR._BILBO,[N/A],Mr. Bilbo,78,209,28,0.93
PERSON,PER_MR._DROGO,[N/A],Mr. Drogo,31,231,13,0.85
PERSON,PER_MR._DROGO_BAGGINS,[N/A],Mr. Drogo Baggins,6,209,40,0.86
EVENT,EVE_DROWNDED,[N/A],drownded,20,236,27,0.89
